鳥種,數量,距離,結群,備註,組別,樣點編號,"棲地類型
 (其他說明)",X座標,Y座標,調查者,"調查旅次
編號",天氣代號,"開始時間
（時）","開始時間
（分）",年,月,日,科名,物種來源
野鴿,1.0,A,N,,1,B2,,121.3206,25.011,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3.0,C,16,15,2024,3,27,鳩鴿,入侵
白尾八哥,2.0,D,N,,1,B2,,121.3206,25.011,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3.0,C,16,15,2024,3,27,椋鳥,入侵
蒼鷺,4.0,D,N,,1,B2,,121.3206,25.011,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3.0,C,16,15,2024,3,27,鷺,原生
金背鳩,4.0,A,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3.0,C,16,28,2024,3,27,鳩鴿,特有
蒼鷺,1.0,D,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3.0,C,16,28,2024,3,27,鷺,原生
小白鷺,3.0,D,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3.0,C,16,28,2024,3,27,鷺,原生
野鴿,3.0,D,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3.0,C,16,28,2024,3,27,鳩鴿,入侵
金背鳩,1.0,D,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3.0,C,16,28,2024,3,27,鳩鴿,特有
家燕,1.0,D,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3.0,C,16,28,2024,3,27,燕,原生
蒼鷺,3.0,D,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3.0,C,16,28,2024,3,27,鷺,原生
小白鷺,1.0,D,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3.0,C,16,28,2024,3,27,鷺,原生
紅鳩,2.0,A,N,,1,A1,,121.3205,25.0117,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3.0,C,16,38,2024,3,27,鳩鴿,原生
麻雀,1.0,A,N,,1,A1,,121.3205,25.0117,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3.0,C,16,38,2024,3,27,雀,原生
白頭翁,3.0,A,N,,1,A1,,121.3205,25.0117,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3.0,C,16,38,2024,3,27,鵯,特有
珠頸斑鳩,1.0,A,N,,1,A1,,121.3205,25.0117,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3.0,C,16,38,2024,3,27,鳩鴿,原生
喜鵲,2.0,A,N,,1,A1,,121.3205,25.0117,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3.0,C,16,38,2024,3,27,鴉,原生
蒼鷺,1.0,D,N,,1,A1,,121.3205,25.0117,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3.0,C,16,38,2024,3,27,鷺,原生
小白鷺,3.0,D,N,,1,A1,,121.3205,25.0117,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3.0,C,16,38,2024,3,27,鷺,原生
野鴿,1.0,D,N,,1,A1,,121.3205,25.0117,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3.0,C,16,38,2024,3,27,鳩鴿,入侵
黑冠麻鷺,1.0,A,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3.0,C,16,50,2024,3,27,鷺,原生
蒼鷺,2.0,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3.0,C,16,50,2024,3,27,鷺,原生
白頭翁,1.0,A,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3.0,C,16,50,2024,3,27,鵯,特有
小白鷺,1.0,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3.0,C,16,50,2024,3,27,鷺,原生
蒼鷺,1.0,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3.0,C,16,50,2024,3,27,鷺,原生
蒼鷺,3.0,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3.0,C,16,50,2024,3,27,鷺,原生
蒼鷺,1.0,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3.0,C,16,50,2024,3,27,鷺,原生
蒼鷺,3.0,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3.0,C,16,50,2024,3,27,鷺,原生
蒼鷺,2.0,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3.0,C,16,50,2024,3,27,鷺,原生
小白鷺,1.0,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3.0,C,16,50,2024,3,27,鷺,原生
蒼鷺,1.0,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3.0,C,16,50,2024,3,27,鷺,原生
麻雀,3.0,A,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3.0,C,16,58,2024,3,27,雀,原生
蒼鷺,2.0,D,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3.0,C,16,58,2024,3,27,鷺,原生
麻雀,4.0,D,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3.0,C,16,58,2024,3,27,雀,原生
金背鳩,1.0,A,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3.0,C,16,58,2024,3,27,鳩鴿,特有
麻雀,1.0,A,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3.0,C,16,58,2024,3,27,雀,原生
喜鵲,1.0,A,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3.0,C,16,58,2024,3,27,鴉,原生
麻雀,3.0,A,N,,1,B3,,121.3205,25.0106,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4.0,C,9,6,2024,3,28,雀,原生
小白鷺,2.0,D,N,,1,B3,,121.3205,25.0106,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4.0,C,9,6,2024,3,28,鷺,原生
家燕,3.0,D,N,,1,B3,,121.3205,25.0106,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4.0,C,9,6,2024,3,28,燕,原生
麻雀,5.0,A,N,,1,B2,,121.3206,25.011,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4.0,C,9,15,2024,3,28,雀,原生
麻雀,3.0,A,N,,1,B2,,121.3206,25.011,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4.0,C,9,15,2024,3,28,雀,原生
黑領椋鳥,1.0,A,N,,1,B2,,121.3206,25.011,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4.0,C,9,15,2024,3,28,椋鳥,原生
蒼鷺,2.0,D,N,,1,B2,,121.3206,25.011,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4.0,C,9,15,2024,3,28,鷺,原生
蒼鷺,2.0,D,N,,1,B2,,121.3206,25.011,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4.0,C,9,15,2024,3,28,鷺,原生
大卷尾,1.0,A,N,,1,B2,,121.3206,25.011,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4.0,C,9,15,2024,3,28,卷尾,特有
金背鳩,25.0,D,Y,,1,B2,,121.3206,25.011,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4.0,C,9,15,2024,3,28,鳩鴿,特有
麻雀,2.0,A,N,,1,B2,,121.3206,25.011,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4.0,C,9,15,2024,3,28,雀,原生
紅鳩,1.0,A,N,,1,B2,,121.3206,25.011,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4.0,C,9,15,2024,3,28,鳩鴿,原生
五色鳥,1.0,A,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4.0,C,9,27,2024,3,28,擬啄木,特有
白尾八哥,1.0,A,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4.0,C,9,27,2024,3,28,椋鳥,入侵
野鴿,1.0,D,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4.0,C,9,27,2024,3,28,鳩鴿,入侵
麻雀,3.0,D,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4.0,C,9,27,2024,3,28,雀,原生
麻雀,3.0,A,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4.0,C,9,27,2024,3,28,雀,原生
大白鷺,1.0,D,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4.0,C,9,27,2024,3,28,鷺,原生
白頭翁,1.0,A,N,,1,A1,,121.3205,25.0117,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4.0,C,9,39,2024,3,28,鵯,特有
喜鵲,1.0,A,N,,1,A1,,121.3205,25.0117,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4.0,C,9,39,2024,3,28,鴉,原生
大白鷺,1.0,D,N,,1,A1,,121.3205,25.0117,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4.0,C,9,39,2024,3,28,鷺,原生
小白鷺,1.0,A,N,,1,A1,,121.3205,25.0117,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4.0,C,9,39,2024,3,28,鷺,原生
小白鷺,1.0,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4.0,C,9,48,2024,3,28,鷺,原生
大白鷺,1.0,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4.0,C,9,48,2024,3,28,鷺,原生
大白鷺,1.0,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4.0,C,9,48,2024,3,28,鷺,原生
麻雀,2.0,A,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4.0,C,9,48,2024,3,28,雀,原生
白頭翁,2.0,A,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4.0,C,9,48,2024,3,28,鵯,特有
蒼鷺,2.0,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4.0,C,9,48,2024,3,28,鷺,原生
麻雀,2.0,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4.0,C,9,48,2024,3,28,雀,原生
喜鵲,1.0,A,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4.0,C,10,0,2024,3,28,鴉,原生
白頭翁,1.0,A,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4.0,C,10,0,2024,3,28,鵯,特有
白鶺鴒,1.0,A,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4.0,C,10,0,2024,3,28,鶺鴒,原生
白尾八哥,1.0,A,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4.0,C,10,0,2024,3,28,椋鳥,入侵
白頭翁,1.0,A,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4.0,C,10,0,2024,3,28,鵯,特有
喜鵲,1.0,A,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4.0,C,10,0,2024,3,28,鴉,原生
黑領椋鳥,1.0,A,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4.0,C,10,0,2024,3,28,椋鳥,原生
喜鵲,1.0,A,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5.0,C,17,11,2024,4,3,鴉,原生
珠頸斑鳩,1.0,A,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5.0,C,17,11,2024,4,3,鳩鴿,原生
黑領椋鳥,1.0,A,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5.0,C,17,11,2024,4,3,椋鳥,原生
白頭翁,1.0,A,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5.0,C,17,11,2024,4,3,鵯,特有
麻雀,1.0,A,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5.0,C,17,11,2024,4,3,雀,原生
